datetime,SYM_H
2015-05-11 01:20:00,-34
2015-05-11 01:25:00,-35
2015-05-11 01:30:00,-38
2015-05-11 01:35:00,-40
2015-05-11 01:40:00,-41
2015-05-11 01:45:00,-42
2015-05-11 01:50:00,-43
2015-05-11 01:55:00,-45
2015-05-11 02:00:00,-44
2015-05-11 02:05:00,-46
2015-05-11 02:10:00,-48
2015-05-11 02:15:00,-50
2015-05-11 02:20:00,-51
2015-05-11 02:25:00,-51
2015-05-11 02:30:00,-51
2015-05-11 02:35:00,-50
2015-05-11 02:40:00,-49
2015-05-11 02:45:00,-49
2015-05-11 02:50:00,-49
2015-05-11 02:55:00,-49
2015-05-11 03:00:00,-48
2015-05-11 03:05:00,-48
2015-05-11 03:10:00,-50
2015-05-11 03:15:00,-52
2015-05-11 03:20:00,-52
2015-05-11 03:25:00,-54
2015-05-11 03:30:00,-53
2015-05-11 03:35:00,-53
2015-05-11 03:40:00,-55
2015-05-11 03:45:00,-55
2015-05-11 03:50:00,-55
2015-05-11 03:55:00,-56
2015-05-11 04:00:00,-56
2015-05-11 04:05:00,-53
2015-05-11 04:10:00,-53
2015-05-11 04:15:00,-55
2015-05-11 04:20:00,-53
2015-05-11 04:25:00,-51
2015-05-11 04:30:00,-51
2015-05-11 04:35:00,-52
2015-05-11 04:40:00,-55
2015-05-11 04:45:00,-50
2015-05-11 04:50:00,-42
2015-05-11 04:55:00,-39
2015-05-11 05:00:00,-39
2015-05-11 05:05:00,-39
2015-05-11 05:10:00,-40
2015-05-11 05:15:00,-41
2015-05-11 05:20:00,-43
2015-05-11 05:25:00,-45
2015-05-11 05:30:00,-44
2015-05-11 05:35:00,-45
2015-05-11 05:40:00,-45
2015-05-11 05:45:00,-45
2015-05-11 05:50:00,-45
2015-05-11 05:55:00,-45
2015-05-11 06:00:00,-45
2015-05-11 06:05:00,-45
2015-05-11 06:10:00,-43
2015-05-11 06:15:00,-41
2015-05-11 06:20:00,-39
2015-05-11 06:25:00,-38
2015-05-11 06:30:00,-37
2015-05-11 06:35:00,-36
